Country,Year,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Percentage.Total,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male,Cluster
Syria,2005,27.9,16.799999,27.1,6.0999999,1876313,330014,1546300,43
Iceland,2001,23.4,23.700001,24.799999,22.6,51860,24902,26958,52
India,2010,8.8999996,12.6,21.9,2.8,106101619,11520662,94580960,32
Thailand,1987,15.0,24.9,46.299999,4.3000002,9037179,791688,8245491,60
Costa Rica,2008,20.4,11.9,16.200001,7.4000001,398507,122995,275512,25
Australia,2012,20.1,16.299999,17.799999,14.7,2961263,1354856,1606407,25
Cameroon,1992,15.0,8.1999998,14.2,2.5,565991,86445,479547,32
Singapore,1981,27.799999,17.200001,29.200001,4.9000001,310001,43135,266865,43
Bolivia,2003,2.2,32.700001,46.0,19.9,1797885,558001,1239883,52
Liberia,2011,12.5,6.3000002,11.6,1.1,146670,13128,133542,32
Poland,1993,26.0,34.900002,47.5,23.299999,10176345,3546111,6630234,52
Laos,1998,15.8,33.099998,55.099998,11.9,963155,175653,787502,52
Ukraine,1998,17.9,29.799999,52.299999,11.2,12012517,2480888,9531628,52
Moldova,1989,29.0,26.200001,49.700001,5.9000001,820750,98720,722030,60
Solomon Islands,1990,4.1999998,28.4,40.299999,15.9,48274,13182,35092,52
Uzbekistan,2001,20.700001,10.9,21.0,1.2,1739380,99166,1640214,32
Tanzania,2001,8.8999996,10.9,20.4,1.6,2098619,157859,1940761,32
Liberia,2005,10.7,7.0999999,13.1,1.2,131889,10936,120953,32
Fiji,1990,20.9,16.4,27.6,4.9000001,73442,10994,62448,43
Chad,1988,2.2,7.4000001,12.7,2.2,217252,33075,184178,32
Rwanda,1994,21.0,13.9,20.299999,8.0,445868,131378,314490,43
World,2003,18.200001,20.4,33.799999,7.0999999,920175120,160521584,759653601,11
Honduras,1981,21.200001,15.7,26.200001,5.4000001,313825,53627,260199,43
Botswana,2010,15.2,13.5,21.799999,5.3000002,175157,34308,140849,32
Bosnia and Herzegovina,1999,22.200001,36.700001,46.099998,28.1,1096090,440603,655487,52
Sudan,2009,16.4,5.5999999,9.6999998,1.6,1429447,199541,1229906,32
Croatia,1989,20.9,26.9,31.799999,22.4,1021917,444556,577361,52
Argentina,1990,19.1,25.299999,29.700001,21.200001,5711538,2471415,3240123,52
Iraq,2009,21.9,16.200001,30.200001,2.3,2866243,201869,2664374,43
Trinidad and Tobago,2004,16.9,17.200001,27.6,7.1999998,172616,36331,136285,32
Macedonia,2000,21.5,37.599998,48.299999,27.0,599210,214830,384381,52
Slovakia,2001,26.4,24.200001,34.599998,14.5,1052854,329592,723262,52
Ethiopia,2004,6.0999999,3.9000001,6.9000001,0.89999998,1541096,183896,1357200,32
Mauritius,1990,20.299999,21.4,39.799999,3.2,160265,12276,147989,11
Lesotho,2007,24.799999,17.5,35.5,0.80000001,208602,5151,203452,43
Angola,1980,22.700001,8.6999998,16.700001,1.1,355432,23628,331804,43
Kazakhstan,1993,23.6,20.700001,26.5,15.6,2295022,907831,1387191,24
Saudi Arabia,1995,42.0,12.3,20.1,0.89999998,1340779,38450,1302329,43
El Salvador,1990,14.9,10.5,19.0,3.0,328548,49014,279534,32
Montenegro,1995,24.5,27.6,36.400002,19.299999,130178,46530,83649,52
Central African Republic,1997,16.6,8.3000002,15.9,1.1,163142,11223,151919,32
Nepal,1997,5.6999998,36.799999,48.900002,24.0,4707907,1498888,3209019,52
Fiji,1996,18.200001,15.2,25.5,4.5999999,75768,11417,64351,32
Suriname,2004,117.0,6.4000001,10.4,2.3,21966,4044,17922,43
Liberia,1981,11.3,7.8000002,14.4,1.2,83565,6537,77028,32
Israel,1981,21.200001,32.700001,38.700001,26.9,835598,349165,486432,52
Lithuania,2009,13.8,25.9,40.200001,13.8,733873,212353,521520,52
Somalia,2007,25.6,9.8000002,17.9,1.9,454764,44265,410498,43
Jordan,2000,16.9,26.1,42.400002,8.1000004,754351,111460,642891,52
Brazil,2008,27.0,14.6,18.0,11.4,20612448,8268533,12343915,43
Barbados,1983,36.299999,6.9000001,12.3,2.3,12605,2181,10424,43
Yemen,1991,26.5,19.299999,29.5,9.8000002,1152094,299838,852256,43
Kiribati,1982,8.0,46.900002,61.099998,33.299999,16188,5897,10291,52
Gambia,2012,17.4,12.1,24.1,0.69999999,117453,3682,113770,32
Colombia,1991,21.6,13.7,19.799999,7.9000001,2975454,879971,2095483,43
Somalia,2008,25.799999,9.6999998,17.9,1.9,464293,44923,419370,43
Philippines,1981,18.4,27.5,46.5,8.3999996,7665651,1170460,6495191,52
Latvia,2004,20.799999,30.4,47.299999,16.4,597459,177221,420238,52
Singapore,2005,21.4,13.4,23.299999,3.7,381135,54396,326739,43
Nepal,2006,5.9000001,27.299999,37.299999,18.1,4262860,1462864,2799996,52
Russia,1981,21.6,34.900002,58.599998,15.6,38008382,9370467,28637914,52
Egypt,2000,21.6,16.0,31.200001,0.80000001,6814722,168864,6645859,43
